session_number,Customer ID,song_number,Date,Artist,Song
31,4b11b8,6,2020-12-26T21:11:59.971200Z,Frank Sinatra,My Way
31,4b11b8,7,2020-12-26T21:15:00.028800Z,Toto,Africa
31,4b11b8,8,2020-12-26T21:18:00Z,Ava Max,Sweet But Psycho
32,cd2834,1,2020-12-27T06:00:00Z,Ed Sheeran,Perfect
33,3fdc46,1,2020-12-27T07:00:00.028800Z,High School Musical,Breaking Free
33,3fdc46,2,2020-12-27T07:03:00Z,Dolly Parton,9 To 5
34,817c35,1,2020-12-27T09:00:00Z,George Ezra,Shotgun
34,817c35,2,2020-12-27T09:02:00.009600Z,Dua Lipa,New Rules
35,5f56ac,1,2020-12-27T10:59:59.971200Z,Taylor Swift,Shake It Off
35,5f56ac,2,2020-12-27T11:01:59.980800Z,Camilla Cabello Ft. Young Thug,Havana
36,b0b55f,1,2020-12-27T13:00:00.028800Z,The Pogues,Fairytale Of New York
36,b0b55f,2,2020-12-27T13:02:00.038400Z,Moana,How Far I’ll Go
36,b0b55f,3,2020-12-27T13:05:00.009600Z,A-Ha,Take On Me
37,8dc987,1,2020-12-27T16:00:00.028800Z,Shawn Mendes & Camila Cabello,Senorita
37,8dc987,2,2020-12-27T16:03:00Z,Alexandra Burke,Hallelujah
38,41c5b3,1,2020-12-27T18:00:00Z,Kesha,This Is Me (Greatest Showman)
38,41c5b3,2,2020-12-27T18:02:59.971200Z,Zac Efron & Zendaya,Rewrite The Stars (The Greatest Showman)
39,19c2ae,1,2020-12-27T19:59:59.971200Z,Ed Sheeran,Perfect
39,19c2ae,2,2020-12-27T20:01:59.980800Z,The Little Mermaid,Part Of Your World
39,19c2ae,3,2020-12-27T20:05:00.038400Z,Bonnie Tyler,Total Eclipse Of The Heart
39,19c2ae,4,2020-12-27T20:08:00.009600Z,Aladdin,A Whole New World
39,19c2ae,5,2020-12-27T20:10:59.980800Z,Luis Fonsi & Daddy Yankee,Despacito
39,19c2ae,6,2020-12-27T20:12:59.990400Z,Estelle Ft. Kanye West,American Boy
39,19c2ae,7,2020-12-27T20:15:59.961600Z,The Human League,Don’t You Want Me Baby
40,8d850e,1,2020-12-28T03:00:00Z,Britney Spears,Toxic
40,8d850e,2,2020-12-28T03:02:59.971200Z,Queen,I Want To Break Free
40,8d850e,3,2020-12-28T03:06:00.028800Z,Bonnie Tyler,Total Eclipse Of The Heart
40,8d850e,4,2020-12-28T03:09:00Z,Backstreet Boys,Everybody
40,8d850e,5,2020-12-28T03:11:00.009600Z,The Lion King,Hakuna Matata
40,8d850e,6,2020-12-28T03:13:00.019200Z,ABBA,Mamma Mia
40,8d850e,7,2020-12-28T03:15:00.028800Z,The Lion King,Can You Feel The Love Tonight
40,8d850e,8,2020-12-28T03:17:00.038400Z,John Denver,"Take Me Home, Country Roads"
40,8d850e,9,2020-12-28T03:20:00.009600Z,Outkast,Hey Ya
40,8d850e,10,2020-12-28T03:22:59.980800Z,Elton John,Your Song
40,8d850e,11,2020-12-28T03:24:59.990400Z,The Human League,Don’t You Want Me Baby
41,f0549d,1,2020-12-28T13:59:59.971200Z,ABBA,Dancing Queen
41,f0549d,2,2020-12-28T14:01:59.980800Z,Grease,You’re The One That I Want
42,b5f816,1,2020-12-28T16:00:00.028800Z,Bonnie Tyler,Total Eclipse Of The Heart
43,90980,1,2020-12-28T16:59:59.971200Z,Grease,Summer Nights
43,90980,2,2020-12-28T17:01:59.980800Z,Mark Ronson Ft. Amy Winehouse,Valerie
43,90980,3,2020-12-28T17:05:00.038400Z,Ed Sheeran & Justin Bieber,I Don’t Care
44,0b032a,1,2020-12-28T19:59:59.971200Z,The Lion King,I Just Can’t Wait To Be King
44,0b032a,2,2020-12-28T20:01:59.980800Z,Grease,Summer Nights
44,0b032a,3,2020-12-28T20:03:59.990400Z,Taylor Swift,Shake It Off
44,0b032a,4,2020-12-28T20:06:00Z,Luis Fonsi & Daddy Yankee,Despacito
45,62f99c,1,2020-12-29T00:00:00Z,George Ezra,Shotgun
45,62f99c,2,2020-12-29T00:02:00.009600Z,Britney Spears,Baby One More Time
45,62f99c,3,2020-12-29T00:04:00.019200Z,The Greatest Showman,A Million Dreams
45,62f99c,4,2020-12-29T00:06:59.990400Z,Anne-Marie,2002
45,62f99c,5,2020-12-29T00:09:59.961600Z,Oasis,Wonderwall
46,74e4cd,1,2020-12-29T04:59:59.971200Z,Britney Spears,Baby One More Time
46,74e4cd,2,2020-12-29T05:01:59.980800Z,Ed Sheeran,Perfect
46,74e4cd,3,2020-12-29T05:03:59.990400Z,Cher,Believe
46,74e4cd,4,2020-12-29T05:06:59.961600Z,Anne-Marie,2002
46,74e4cd,5,2020-12-29T05:10:00.019200Z,Ike And Tina Turner,Proud Mary
46,74e4cd,6,2020-12-29T05:12:00.028800Z,Kings Of Leon,Sex Is On Fire
46,74e4cd,7,2020-12-29T05:14:00.038400Z,Frank Sinatra,My Way
46,74e4cd,8,2020-12-29T05:17:00.009600Z,Elvis Presley,Suspicious Minds
47,b5f816,1,2020-12-29T13:00:00.028800Z,Pinkfong,Baby Shark
47,b5f816,2,2020-12-29T13:03:00Z,Guns N’ Roses,Sweet Child O’ Mine
48,b33ec1,1,2020-12-29T15:00:00Z,The Proclaimers,I’m Gonna Be (500 Miles)
48,b33ec1,2,2020-12-29T15:02:59.971200Z,Tones And I,Dance Monkey
48,b33ec1,3,2020-12-29T15:06:00.028800Z,The Beatles,Hey Jude
48,b33ec1,4,2020-12-29T15:09:00Z,The Proclaimers,I’m Gonna Be (500 Miles)
48,b33ec1,5,2020-12-29T15:11:59.971200Z,Dua Lipa,New Rules
49,b919e0,1,2020-12-29T19:59:59.971200Z,Ava Max,Sweet But Psycho
49,b919e0,2,2020-12-29T20:03:00.028800Z,ABBA,Gimme Gimme Gimme
50,0cf9e6,1,2020-12-29T22:00:00.028800Z,Frank Sinatra,New York New York
50,0cf9e6,2,2020-12-29T22:03:00Z,ABBA,Waterloo
50,0cf9e6,3,2020-12-29T22:05:59.971200Z,Vanilla Ice,Ice Ice Baby
50,0cf9e6,4,2020-12-29T22:09:00.028800Z,TLC,No Scrubs
51,01fc7c,1,2020-12-30T01:59:59.971200Z,Queen,Don’t Stop Me Now
51,01fc7c,2,2020-12-30T02:03:00.028800Z,Outkast,Hey Ya
51,01fc7c,3,2020-12-30T02:06:00Z,Billie Eilish,Bad Guy
51,01fc7c,4,2020-12-30T02:08:00.009600Z,Lady Gaga & Bradley Cooper,Shallow
51,01fc7c,5,2020-12-30T02:10:59.980800Z,Mark Ronson Ft. Bruno Mars,Uptown Funk
51,01fc7c,6,2020-12-30T02:14:00.038400Z,Ed Sheeran,Perfect
51,01fc7c,7,2020-12-30T02:15:59.961600Z,Grease,You’re The One That I Want
52,de547f,1,2020-12-30T09:00:00Z,Ed Sheeran,Perfect
53,2f626e,1,2020-12-30T10:00:00.028800Z,ABBA,Waterloo
53,2f626e,2,2020-12-30T10:03:00Z,Tones And I,Dance Monkey
54,40b63a,1,2020-12-30T12:00:00Z,Outkast,Hey Ya
55,2e5db7,1,2020-12-30T13:00:00.028800Z,Wham!,Last Christmas
55,2e5db7,2,2020-12-30T13:02:00.038400Z,Little Mix,Shout Out To My Ex
55,2e5db7,3,2020-12-30T13:05:00.009600Z,Alexandra Burke,Hallelujah
55,2e5db7,4,2020-12-30T13:07:59.980800Z,Grease,Summer Nights
55,2e5db7,5,2020-12-30T13:09:59.990400Z,ABBA,Gimme Gimme Gimme
55,2e5db7,6,2020-12-30T13:12:00Z,Cher,Believe
56,b0c352,1,2020-12-30T19:00:00.028800Z,Ed Sheeran,Shape Of You
56,b0c352,2,2020-12-30T19:03:00Z,The Human League,Don’t You Want Me Baby
57,2bb0da,1,2020-12-30T21:00:00Z,Spice Girls,Wannabe
57,2bb0da,2,2020-12-30T21:02:00.009600Z,Bon Jovi,Livin’ On A Prayer
58,29505,1,2020-12-30T22:59:59.971200Z,ABBA,Dancing Queen
58,29505,2,2020-12-30T23:01:59.980800Z,Dirty Dancing,The Time Of My Life
59,bdc39c,1,2020-12-31T01:59:59.971200Z,Ed Sheeran,Shape Of You
60,817c35,1,2020-12-31T03:00:00Z,Anne-Marie,2002
61,3fdc46,1,2020-12-31T04:00:00.028800Z,Pinkfong,Baby Shark
61,3fdc46,2,2020-12-31T04:03:00Z,Frank Sinatra,New York New York
61,3fdc46,3,2020-12-31T04:05:59.971200Z,Vanilla Ice,Ice Ice Baby
61,3fdc46,4,2020-12-31T04:09:00.028800Z,Loren Allred,Never Enough (The Greatest Showman)
62,0b032a,1,2020-12-31T07:59:59.971200Z,Mariah Carey,All I Want For Christmas Is You
63,ffa716,1,2020-12-31T09:00:00Z,Elton John,Your Song
63,ffa716,2,2020-12-31T09:02:00.009600Z,Little Mix,Shout Out To My Ex
63,ffa716,3,2020-12-31T09:04:59.980800Z,The Human League,Don’t You Want Me Baby
63,ffa716,4,2020-12-31T09:08:00.038400Z,Bon Jovi,Livin’ On A Prayer
64,ef2c80,1,2020-12-31T13:00:00.028800Z,Oasis,Don’t Look Back In Anger
64,ef2c80,2,2020-12-31T13:03:00Z,Elton John & Kiki Dee,Don’t Go Breaking My Heart
64,ef2c80,3,2020-12-31T13:05:00.009600Z,Bon Jovi,Livin’ On A Prayer
64,ef2c80,4,2020-12-31T13:07:00.019200Z,The Lion King,Hakuna Matata
65,2bb0da,1,2020-12-31T16:59:59.971200Z,Shania Twain,Man! I Feel Like A Woman
66,1d80ad,1,2020-12-31T18:00:00Z,The Proclaimers,I’m Gonna Be (500 Miles)
66,1d80ad,2,2020-12-31T18:02:59.971200Z,The Little Mermaid,Part Of Your World
67,ddd7ca,1,2020-12-31T19:59:59.971200Z,Guns N’ Roses,Sweet Child O’ Mine
67,ddd7ca,2,2020-12-31T20:01:59.980800Z,Taylor Swift,Shake It Off
67,ddd7ca,3,2020-12-31T20:03:59.990400Z,Aqua,Barbie Girl
68,732ed3,1,2020-12-31T22:59:59.971200Z,Beyonce,Single Ladies (Put A Ring On It)
68,732ed3,2,2020-12-31T23:03:00.028800Z,Outkast,Hey Ya
68,732ed3,3,2020-12-31T23:06:00Z,Oasis,Don’t Look Back In Anger
68,732ed3,4,2020-12-31T23:08:59.971200Z,Robbie Williams,Angels
68,732ed3,5,2020-12-31T23:12:00.028800Z,Moana,How Far I’ll Go
69,793a1c,1,2021-01-01T04:00:00.028800Z,The Proclaimers,I’m Gonna Be (500 Miles)
69,793a1c,2,2021-01-01T04:03:00Z,The Lion King,I Just Can’t Wait To Be King
70,80244a,1,2021-01-01T06:00:00Z,Frozen,Let It Go
70,80244a,2,2021-01-01T06:02:00.009600Z,Ava Max,Sweet But Psycho
70,80244a,3,2021-01-01T06:04:59.980800Z,The Lion King,Can You Feel The Love Tonight
70,80244a,4,2021-01-01T06:06:59.990400Z,Loren Allred,Never Enough (The Greatest Showman)
70,80244a,5,2021-01-01T06:09:00Z,Outkast,Hey Ya
70,80244a,6,2021-01-01T06:11:59.971200Z,Will Smith,The Fresh Prince Of Bel Air
71,f17170,1,2021-01-01T12:00:00Z,Lady Gaga & Bradley Cooper,Shallow
72,e43422,1,2021-01-01T13:00:00.028800Z,Shawn Mendes & Camila Cabello,Senorita
72,e43422,2,2021-01-01T13:03:00Z,Will Smith,The Fresh Prince Of Bel Air
72,e43422,3,2021-01-01T13:05:00.009600Z,Ed Sheeran,Perfect
72,e43422,4,2021-01-01T13:07:00.019200Z,Wham!,Last Christmas
72,e43422,5,2021-01-01T13:09:00.028800Z,Zac Efron & Zendaya,Rewrite The Stars (The Greatest Showman)
72,e43422,6,2021-01-01T13:11:00.038400Z,Shania Twain,Man! I Feel Like A Woman
72,e43422,7,2021-01-01T13:14:00.009600Z,Mark Ronson Ft. Bruno Mars,Uptown Funk
73,,1,2021-01-01T19:59:59.971200Z,Bonnie Tyler,Total Eclipse Of The Heart
74,749ebe,1,2021-01-01T21:00:00Z,The Pogues,Fairytale Of New York
74,749ebe,2,2021-01-01T21:02:00.009600Z,George Ezra,Shotgun
74,749ebe,3,2021-01-01T21:04:00.019200Z,Mark Ronson Ft. Bruno Mars,Uptown Funk
74,749ebe,4,2021-01-01T21:06:59.990400Z,Estelle Ft. Kanye West,American Boy
75,6eb0e1,1,2021-01-02T01:00:00.028800Z,Oasis,Wonderwall
76,ccee6c,1,2021-01-02T01:59:59.971200Z,Ed Sheeran,Shape Of You
77,a18ee9,1,2021-01-02T03:00:00Z,A-Ha,Take On Me
78,140940,1,2021-01-02T04:00:00.028800Z,Mark Ronson Ft. Amy Winehouse,Valerie
78,140940,2,2021-01-02T04:03:00Z,Elton John,Your Song
79,19c2ae,1,2021-01-02T06:00:00Z,Estelle Ft. Kanye West,American Boy
79,19c2ae,2,2021-01-02T06:02:59.971200Z,Bryan Adams,Summer Of ’69
79,19c2ae,3,2021-01-02T06:06:00.028800Z,Dolly Parton & Kenny Rogers,Islands In The Stream
80,3fdc46,1,2021-01-02T09:00:00Z,The Greatest Showman,A Million Dreams
80,3fdc46,2,2021-01-02T09:02:59.971200Z,Aqua,Barbie Girl
80,3fdc46,3,2021-01-02T09:04:59.980800Z,Ed Sheeran,Castle On The Hill
80,3fdc46,4,2021-01-02T09:08:00.038400Z,Robbie Williams,Angels
80,3fdc46,5,2021-01-02T09:11:00.009600Z,Toto,Africa
81,a242ac,1,2021-01-02T13:59:59.971200Z,Guns N’ Roses,Sweet Child O’ Mine
81,a242ac,2,2021-01-02T14:01:59.980800Z,Mark Ronson Ft. Amy Winehouse,Valerie
81,a242ac,3,2021-01-02T14:05:00.038400Z,Will Smith,The Fresh Prince Of Bel Air
81,a242ac,4,2021-01-02T14:06:59.961600Z,Queen,We Will Rock You
81,a242ac,5,2021-01-02T14:10:00.019200Z,Ed Sheeran,Shape Of You
81,a242ac,6,2021-01-02T14:12:59.990400Z,Spice Girls,Wannabe
81,a242ac,7,2021-01-02T14:15:00Z,Eminem,Lose Yourself
81,a242ac,8,2021-01-02T14:17:59.971200Z,Lil Nas X,Old Town Road
82,b919e0,1,2021-01-02T22:00:00.028800Z,Elton John,Your Song
83,bf513b,1,2021-01-02T22:59:59.971200Z,Moana,How Far I’ll Go
83,bf513b,2,2021-01-02T23:03:00.028800Z,Loren Allred,Never Enough (The Greatest Showman)
84,40581f,1,2021-01-03T01:00:00.028800Z,Neil Diamond,Sweet Caroline
85,16fc7f,1,2021-01-03T01:59:59.971200Z,The Lion King,I Just Can’t Wait To Be King
85,16fc7f,2,2021-01-03T02:01:59.980800Z,Pinkfong,Baby Shark
86,a04f42,1,2021-01-03T04:00:00.028800Z,Oasis,Don’t Look Back In Anger
86,a04f42,2,2021-01-03T04:03:00Z,Neil Diamond,Sweet Caroline
86,a04f42,3,2021-01-03T04:05:59.971200Z,Grease,Summer Nights
87,732ed3,1,2021-01-03T07:00:00.028800Z,Ed Sheeran,Perfect
88,,1,2021-01-03T07:59:59.971200Z,Dua Lipa,New Rules
88,,2,2021-01-03T08:03:00.028800Z,The Weather Girls,It’s Raining Men
89,c3e2e0,1,2021-01-03T10:00:00.028800Z,Pinkfong,Baby Shark
90,f97dbd,1,2021-01-03T10:59:59.971200Z,The Lion King,Can You Feel The Love Tonight
90,f97dbd,2,2021-01-03T11:01:59.980800Z,Ed Sheeran & Justin Bieber,I Don’t Care
91,4b11b8,1,2021-01-03T13:00:00.028800Z,Zac Efron & Zendaya,Rewrite The Stars (The Greatest Showman)
91,4b11b8,2,2021-01-03T13:02:00.038400Z,Backstreet Boys,Everybody
91,4b11b8,3,2021-01-03T13:03:59.961600Z,Oasis,Wonderwall
91,4b11b8,4,2021-01-03T13:05:59.971200Z,Loren Allred,Never Enough (The Greatest Showman)
91,4b11b8,5,2021-01-03T13:07:59.980800Z,Luis Fonsi & Daddy Yankee,Despacito
91,4b11b8,6,2021-01-03T13:09:59.990400Z,Moana,How Far I’ll Go
91,4b11b8,7,2021-01-03T13:12:59.961600Z,Oasis,Wonderwall
91,4b11b8,8,2021-01-03T13:14:59.971200Z,Mariah Carey,All I Want For Christmas Is You
91,4b11b8,9,2021-01-03T13:16:59.980800Z,Robbie Williams,Angels
91,4b11b8,10,2021-01-03T13:20:00.038400Z,Britney Spears,Toxic
91,4b11b8,11,2021-01-03T13:23:00.009600Z,Cher,Believe
91,4b11b8,12,2021-01-03T13:25:59.980800Z,The Lion King,Can You Feel The Love Tonight
91,4b11b8,13,2021-01-03T13:27:59.990400Z,John Denver,"Take Me Home, Country Roads"
91,4b11b8,14,2021-01-03T13:30:59.961600Z,Britney Spears,Toxic
91,4b11b8,15,2021-01-03T13:34:00.019200Z,Loren Allred,Never Enough (The Greatest Showman)
91,4b11b8,16,2021-01-03T13:36:00.028800Z,ABBA,Dancing Queen
91,4b11b8,17,2021-01-03T13:38:00.038400Z,Spice Girls,Wannabe
91,4b11b8,18,2021-01-03T13:39:59.961600Z,ABBA,Waterloo
92,bdc39c,1,2021-01-04T07:00:00.028800Z,The Lion King,Hakuna Matata
93,90980,1,2021-01-04T07:59:59.971200Z,The Pogues,Fairytale Of New York
93,90980,2,2021-01-04T08:01:59.980800Z,Dirty Dancing,The Time Of My Life
93,90980,3,2021-01-04T08:05:00.038400Z,The Lion King,I Just Can’t Wait To Be King
94,873117,1,2021-01-04T10:59:59.971200Z,George Ezra,Shotgun
94,873117,2,2021-01-04T11:01:59.980800Z,Queen,Don’t Stop Me Now
95,23d93f,1,2021-01-04T13:00:00.028800Z,Lady Gaga & Bradley Cooper,Shallow
96,01fc7c,1,2021-01-04T13:59:59.971200Z,Wham!,Last Christmas
96,01fc7c,2,2021-01-04T14:01:59.980800Z,Ariana Grande,7 Rings
97,9e17fe,1,2021-01-04T16:00:00.028800Z,The Weather Girls,It’s Raining Men
98,758060,1,2021-01-04T16:59:59.971200Z,Frank Sinatra,My Way
99,ccee6c,1,2021-01-04T18:00:00Z,John Denver,"Take Me Home, Country Roads"
99,ccee6c,2,2021-01-04T18:02:59.971200Z,Dua Lipa,New Rules
100,ddd7ca,1,2021-01-04T19:59:59.971200Z,Zac Efron & Zendaya,Rewrite The Stars (The Greatest Showman)
101,a59dd7,1,2021-01-04T21:00:00Z,John Denver,"Take Me Home, Country Roads"
102,6b550c,1,2021-01-04T22:00:00.028800Z,TLC,No Scrubs
